code	Year	metric	C_n	C_mean	C_sd	D_n	D_mean	D_sd	W_n	W_mean	W_sd	I_n	I_mean	I_sd	N_n	N_mean	N_sd	IN_n	IN_mean	IN_sd	WN_n	WN_mean	WN_sd	LAT	LON	stable	term	site.MAT	site.MAP	ECO	AT_net	GST_net	D_net	I_net	N_net	WI_net	WN_net	DN_net	IN_net
Alatalo et al., 2015_94	2015	COV	8	45.26829268	6.952888115	0	NA	NA	4	54.53658537	11.35946644	0	NA	NA	4	51.41463415	13.19455839	0	NA	NA	4	59.51219512	9.403886196	68.35	18.48	1	2	NA	NA	arc	2.2	1.95	NA	NA	5	NA	11	NA	NA
Alatalo et al., 2015_94	2015	H	8	1.260204082	0.114880921	0	NA	NA	4	0.954081633	0.154078254	0	NA	NA	4	1.163265306	0.17249124	0	NA	NA	4	0.969387755	0.153316114	68.35	18.48	1	2	NA	NA	arc	2.2	1.95	NA	NA	5	NA	11	NA	NA
Alatalo et al., 2015_94	2015	Ratio_S	8	0.84	0.051961524	0	NA	NA	4	0.88	0.026457513	0	NA	NA	4	0.460909929	0.319026322	0	NA	NA	4	0.485107712	0.360696971	68.35	18.48	1	2	NA	NA	arc	2.2	1.95	NA	NA	5	NA	11	NA	NA
Alatalo et al., 2015_94	2015	SP	8	6.336283186	0.530672703	0	NA	NA	4	5.775637689	0.787761131	0	NA	NA	4	5.571056741	0.514822338	0	NA	NA	4	4.7548152	1.017980226	68.35	18.48	1	2	NA	NA	arc	2.2	1.95	NA	NA	5	NA	11	NA	NA
Alon and Sternberg (2019)_36	2019	AGB	10	134.27	50.23	10	103.66	35.75	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	31.71	35.06	1	1	17.7	540	Med & Des	NA	NA	-379.5	NA	NA	NA	NA	NA	NA
Alon and Sternberg (2019)_36	2019	H	10	1.95	0.79	10	1.83	0.37	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	31.71	35.06	1	1	17.7	540	Med & Des	NA	NA	-379.5	NA	NA	NA	NA	NA	NA
Alon and Sternberg (2019)_36	2019	SP	10	49.8	11.43	10	50.2	7.16	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	31.71	35.06	1	1	17.7	540	Med & Des	NA	NA	-379.5	NA	NA	NA	NA	NA	NA
Anadon-Rosell et al 2017_48	2017	COV	5	93.5	6.363961031	0	NA	NA	5	96.5	4.949747468	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	42.45	0.95	1	1	3	1146.4	Alp	NA	1.1	NA	NA	NA	NA	NA	NA	NA
Anadon-Rosell et al 2017_48	2017	Ratio_S	5	74.47833066	4.313010865	0	NA	NA	5	78.05913979	6.987431526	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	42.45	0.95	1	1	3	1146.4	Alp	NA	1.1	NA	NA	NA	NA	NA	NA	NA
Anadon-Rosell et al 2017_49	2017	COV	5	108	8.485281374	0	NA	NA	5	118.5	4.949747468	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	42.45	0.95	1	1	3	1146.4	Alp	NA	1.1	NA	NA	NA	NA	NA	NA	NA
